genres,release_year,popularity,budget,runtime,vote_count,vote_average,revenue
Drama,2015,0.52025,0,123,32,6.8,0
Horror|TV Movie,2015,0.516954,0,90,19,5.1,0
Thriller|Horror,2015,0.515401,0,80,67,5.5,0
Action,2015,0.514735,0,103,13,6.2,1236094
Drama|Thriller,2015,0.513386,0,97,18,4,0
Crime|Drama,2015,0.50732,0,100,16,4.1,0
Drama|Thriller,2015,0.504828,0,91,29,5,0
Thriller|Horror,2015,0.502489,0,83,96,6.5,0
Fantasy|Comedy|Animation,2015,0.497265,0,86,47,4.3,157768
Adventure|Science Fiction|Action,2015,0.486351,21000000,90,63,4.9,0
Action,2015,0.482422,0,90,43,4.7,0
Action|Adventure|Animation|Family,2015,0.47784,0,67,17,6.8,0
TV Movie,2015,0.476341,0,84,10,7.6,0
Action|Drama|Family,2015,0.475473,0,83,38,6.6,0
Drama,2015,0.474788,0,119,13,5.8,0
Horror|Thriller,2015,0.474626,0,88,77,5.6,0
Horror|Thriller,2015,0.473344,0,89,14,4.5,0
Drama|Documentary,2015,0.471393,0,100,112,7.5,0
Comedy,2015,0.471091,20000000,99,60,4.4,0
Comedy,2015,0.470991,0,107,53,6,0
Music|Drama|Crime|Comedy,2015,0.470124,0,127,33,5.9,0
Comedy|Action,2015,0.467556,5300000,85,24,5.8,0
Music|Animation|Family|Fantasy,2015,0.465707,0,99,68,6.1,13603453
Drama,2015,0.46209,9000000,121,72,6.7,21571189
Horror|Science Fiction,2015,0.459597,0,118,82,4.9,0
Comedy|Horror,2015,0.454151,0,86,83,6.5,0
Action|Animation|Fantasy,2015,0.452939,0,76,99,6.9,0
Drama|Music,2015,0.450872,13000000,123,19,5.6,1646788
Action|Drama|Thriller,2015,0.45016,0,104,132,5.7,316472
Fantasy|Thriller|Horror|Science Fiction,2015,0.444265,0,89,73,6,0
Action|Science Fiction|Adventure|Fantasy,2015,0.444193,0,88,31,4.1,0
Thriller|Drama|Horror,2015,0.443525,0,110,22,6.1,0
Animation|Family,2015,0.442835,0,5,137,7.3,0
Drama,2015,0.442427,0,103,107,5.9,3286448
Thriller|Drama,2015,0.442067,0,94,78,5.2,0
Horror|Comedy,2015,0.441882,0,91,211,6.6,0
Thriller|Horror|Comedy|Drama,2015,0.441402,0,99,65,6.3,0
Comedy|Music,2015,0.439598,0,56,101,5.4,0
Thriller|Comedy|Crime,2015,0.438409,0,100,54,5.5,0
Family|Science Fiction|Action|Adventure,2015,0.437088,0,88,18,3.5,0
Drama|Music|Adventure|Fantasy,2015,0.435582,5000000,119,69,5.7,2333684
Thriller|Action|Drama,2015,0.433073,0,105,23,4.8,0
Action|Horror|Thriller,2015,0.429892,10000000,94,35,5,0
Documentary,2015,0.427116,0,120,67,7.2,0
Drama|War,2015,0.424813,6000000,137,306,7.5,90777
Horror,2015,0.423161,0,99,56,5.6,0
Drama,2015,0.42179,0,135,19,7.1,0
Thriller|Mystery|Science Fiction,2015,0.429756,0,101,45,5.3,4505
Family|TV Movie,2015,0.417191,0,84,12,6.3,0
Thriller|Horror,2015,0.415041,0,90,15,5.5,0
Thriller|Horror,2015,0.414913,3000000,83,91,5,3387000
Crime|Horror|Thriller,2015,0.370258,0,95,10,4.7,0
Thriller|Drama|Comedy,2015,0.412877,0,96,21,5.7,0
Drama,2015,0.412503,1000000,101,58,5.8,0
Thriller|Action,2015,0.409698,0,88,20,4.4,0
Drama,2015,0.405095,0,86,23,6.2,0
Fantasy|Action|Adventure,2015,0.404511,0,90,23,3.8,0
Drama|Comedy,2015,0.402236,447524,101,47,4.2,771317
Family|TV Movie|Animation,2015,0.250209,0,44,48,5.9,0
Thriller|Romance|Drama,2015,0.399947,0,97,42,6.2,228136
Science Fiction|Action,2015,0.398982,0,83,92,6.1,0
Drama|Music,2015,0.396791,0,97,16,6.8,830129
Thriller|Action,2015,0.394466,1950000,90,35,5.7,0
Horror,2015,0.393642,0,90,74,5.3,0
Adventure|Action,2015,0.393566,1000000,92,23,4.4,0
Thriller|Action|Drama,2015,0.391326,0,88,16,5.4,0
Horror,2015,0.386529,0,103,75,3.5,0
Horror|Romance|Science Fiction,2015,0.383406,0,109,110,6.5,49970
Thriller,2015,0.383183,0,92,26,4.9,0
Horror,2015,0.382997,0,84,91,5.5,0
Animation|Family|Fantasy,2015,0.71289,0,75,11,7,0
Science Fiction|Action|Horror,2015,0.378836,0,90,15,3.8,0
Horror|Action,2015,0.37668,0,97,24,3.3,0
Thriller|Action|Horror,2015,0.411416,0,83,12,3.6,0
Comedy|Romance,2015,0.374853,0,88,41,5.9,0
Drama|Horror|Thriller,2015,0.372889,0,86,43,5,0
Thriller|Drama|Science Fiction,2015,0.371145,0,91,21,6.1,0
TV Movie|Adventure|Comedy,2015,0.370148,0,90,21,6.5,0
Horror|Thriller|Science Fiction,2015,0.369529,5000000,91,82,4.4,0
TV Movie|Action|Science Fiction,2015,0.369108,0,90,60,3.7,0
Drama,2015,0.36817,6000000,90,35,4.8,0
Science Fiction|Drama|Family,2015,0.367617,0,92,29,6.4,0
Thriller|Drama,2015,0.367434,0,98,16,5.8,0
Comedy|Horror,2015,0.36603,4400000,85,22,7.2,0
Drama|Thriller,2015,0.365901,10000000,111,48,5,17472
Drama|Romance|Comedy,2015,0.329164,0,102,104,5.9,0
Crime|Drama|Thriller,2015,0.359826,0,90,21,5.4,0
Documentary,2015,0.357654,0,0,80,6.5,0
Documentary,2015,0.357614,0,119,186,7.8,0
Thriller|Drama,2015,0.357567,0,103,30,5.5,0
War|Action,2015,0.356519,0,92,26,4.9,0
Adventure|Action|Comedy|Science Fiction,2015,0.354624,0,95,136,6.6,0
Animation|Music|Family,2015,0.350858,0,84,17,6.3,0
Drama|Horror|Science Fiction|Thriller,2015,0.350599,0,87,167,6.1,0
Animation|Documentary,2015,0.348306,0,81,39,6.3,16661077
Comedy,2015,0.347797,0,107,23,4.2,0
Animation,2015,0.344994,0,4,16,5.9,0
Drama|Comedy,2015,0.344549,0,92,39,6.2,7449681
Drama|TV Movie|Crime|Mystery,2015,0.34253,0,87,10,5.6,0
Documentary,2015,0.574031,0,129,110,6.2,494506
Drama|TV Movie,2015,0.339297,0,88,18,5.9,0
Thriller,2015,0.511431,0,87,33,5.9,0
Science Fiction|Action|Horror,2015,0.336453,0,99,47,5.1,0
Crime|Drama|Thriller,2015,0.336107,2000000,97,55,5.7,2801508
Science Fiction|Thriller|Fantasy,2015,0.335941,0,94,39,4.6,0
Action|Science Fiction,2015,0.333656,0,100,24,4.7,0
Comedy,2015,0.332921,0,101,17,4.7,0
Science Fiction|Comedy|Horror,2015,0.330968,0,92,78,5.6,70958
Thriller|Horror,2015,0.330484,0,80,54,5.4,0
Action|Animation|Family,2015,0.329776,0,81,30,6.1,0
Action|Adventure|Science Fiction|Romance,2015,0.329109,27000000,109,22,4.6,0
Drama,2015,0.327373,0,128,43,7.9,0
Science Fiction|Horror,2015,0.327066,0,82,32,4.2,0
Action|Animation|Family,2015,0.32705,0,78,39,5.8,0
Drama|Comedy,2015,0.324666,0,113,11,4,0
Drama,2015,0.324515,0,105,17,6.4,0
Thriller|Drama,2015,0.324,0,122,135,6.8,643557
Drama|History|Romance,2015,0.390188,0,106,12,6.1,0
Drama|Music|TV Movie,2015,0.322653,0,107,21,5.9,0
Horror,2015,0.32264,0,92,92,5.3,0
Thriller|Horror,2015,0.30035,0,86,24,4.2,0
Drama,2015,0.318459,0,85,25,5.7,0
Family|Adventure,2015,0.315196,0,95,15,6.1,0
Adventure|Documentary,2015,0.314199,0,89,42,6.9,2334228
Animation,2015,0.422901,0,7,47,6.9,0
Romance|Comedy|Drama,2015,0.307395,0,105,44,5.9,3447633
Romance|Comedy,2015,0.305916,0,95,11,5.8,0
Mystery|Drama|Thriller,2015,0.302474,0,104,25,6.6,0
TV Movie|Horror|Science Fiction,2015,0.301343,0,88,68,4.5,0
Action|Thriller,2015,0.300128,0,90,18,4.5,0
Documentary,2015,0.198522,0,138,14,8,0
Drama,2015,0.299427,0,90,12,6.3,4444
Drama|Crime,2015,0.298861,0,88,33,6.3,0
Drama,2015,0.298751,5000000,121,24,5.7,4842699
Horror|Science Fiction|TV Movie,2015,0.298628,0,83,16,5.6,0
Drama|Comedy,2015,0.295946,0,90,22,5.7,0
Science Fiction|Action|Animation|Adventure,2015,0.404363,3500000,72,142,6.5,0
Romance|Drama,2015,0.26501,0,89,15,6.3,0
Horror,2015,0.292437,0,91,17,4.1,0
Drama,2015,0.291244,0,95,10,5.7,0
Drama|Horror|Thriller,2015,0.290424,0,92,75,5.8,0
Drama|Comedy,2015,0.289526,700000,87,12,5.2,0
Drama|Thriller|Horror,2015,0.288598,500000,80,57,5.2,0
Drama|Thriller|Mystery,2015,0.309811,0,86,16,7.8,0
Drama|Science Fiction|Thriller,2015,0.286266,0,104,44,6.4,0
Horror,2015,0.28337,0,81,15,3.9,0
Comedy|Horror,2015,0.283194,2000000,85,13,5.7,0
Romance|Comedy,2015,0.282237,0,89,13,4.1,0
Horror|Science Fiction|Thriller,2015,0.280878,0,89,15,5.5,0
History|Documentary|Family,2015,0.278583,0,95,69,5.8,0
Horror|Comedy|Romance,2015,0.277844,0,98,27,4.8,0
Horror,2015,0.277613,0,82,19,3.9,0
Horror|Thriller,2015,0.277035,1000000,80,16,4.6,0
Horror,2015,0.272995,0,83,16,3.7,0
Drama|Comedy,2015,0.270842,0,91,10,7.1,0
Science Fiction|Horror,2015,0.270786,0,84,10,3.9,0
Drama,2015,0.171829,0,83,35,4.9,0
Music|Comedy|Drama,2015,0.264997,0,113,28,6,0
Horror,2015,0.261932,0,90,22,6.1,0
Drama,2015,0.261717,20000000,118,19,6.9,0
Thriller,2015,0.260045,0,85,14,3.9,0
Comedy,2015,0.202673,0,99,12,5.3,0
Drama|Comedy,2015,0.259794,600000,78,81,5.6,7087452
Horror,2015,0.097514,0,0,15,5.6,0
Horror,2015,0.256542,0,81,16,5.3,0
Thriller|Horror,2015,0.256286,0,91,46,4.6,0
Romance|Comedy,2015,0.255458,0,78,23,5.4,0
Romance|Drama,2015,0.250866,0,89,25,7.2,0
History|Crime|Drama,2015,0.249595,0,300,32,7.7,0
Horror|Thriller,2015,0.248964,0,86,40,4.4,0
Action,2015,0.24828,7500000,104,42,5.4,0
Drama|Thriller,2015,0.247595,0,62,73,6.4,0
Action|Drama|Thriller,2015,0.247589,0,90,117,4.8,0
Documentary,2015,0.247426,0,87,36,5.3,2642899
Romance|Drama|Comedy|Mystery,2015,0.246609,0,95,12,5,0
Fantasy|Drama,2015,0.245948,0,115,30,7.4,0
TV Movie|Comedy,2015,0.24495,0,43,87,6.4,0
,2015,0.244648,0,100,21,6.1,0
Comedy|Music,2015,0.243691,0,104,62,6.4,0
History|Drama|Family,2015,0.243321,1500000,94,15,7.2,0
Thriller|Mystery|Science Fiction,2015,0.242078,1500000,96,20,4.4,0
Comedy,2015,0.242,0,108,51,5.6,0
Drama,2015,0.241284,0,84,13,5.8,0
Comedy,2015,0.239558,0,93,16,5.1,0
Crime|Action,2015,0.239496,0,80,41,5,0
Science Fiction|Drama|Thriller,2015,0.154846,0,98,14,5.1,0
Drama|Mystery|Thriller,2015,0.236709,0,90,33,5.6,0
Comedy,2015,0.232354,0,101,28,6.3,161820
